epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,12997.4,0.56194,1.33424,1.07901,1.09373,0,0.60576,0.57489,0.59042,0.50704,0.6056,0.56858,0.58554,0.47809,0.58833,1.43046,1.27598,1.11166,0,0.000383688,0.000383688,0.000383688
80,13161.9,0.54564,1.31774,1.0509,1.08078,0,0.56908,0.59421,0.59557,0.51349,0.57534,0.59144,0.59287,0.48526,0.58178,1.42829,1.28766,1.10875,0,0.000380594,0.000380594,0.000380594
81,13326,0.56068,1.32528,1.04605,1.08834,0,0.61651,0.56469,0.60291,0.52617,0.61708,0.56083,0.59757,0.493,0.57163,1.39194,1.27093,1.10129,0,0.0003775,0.0003775,0.0003775
82,13489.9,0.54294,1.30444,1.02661,1.07181,0,0.58459,0.58449,0.59586,0.51608,0.58122,0.58152,0.5901,0.48421,0.56972,1.39582,1.30467,1.09606,0,0.000374406,0.000374406,0.000374406
83,13653.6,0.55085,1.31056,1.04261,1.08922,0,0.55089,0.59723,0.58849,0.50858,0.54961,0.59581,0.58387,0.47736,0.56689,1.38141,1.29569,1.09781,0,0.000371313,0.000371313,0.000371313
84,13817.7,0.53742,1.2714,1.02709,1.07635,0,0.56574,0.57466,0.59173,0.51485,0.56846,0.57305,0.58627,0.48232,0.57568,1.39755,1.29847,1.11266,0,0.000368219,0.000368219,0.000368219
85,13981.6,0.53926,1.26968,0.99988,1.07571,0,0.57207,0.59215,0.5991,0.51396,0.58311,0.58117,0.59493,0.48454,0.5715,1.44736,1.29334,1.10296,0,0.000365125,0.000365125,0.000365125
86,14146.1,0.52689,1.25367,0.99033,1.06566,0,0.58903,0.59202,0.60266,0.5236,0.58616,0.59062,0.59829,0.49228,0.56323,1.42313,1.26555,1.09112,0,0.000362031,0.000362031,0.000362031
87,14310.3,0.54133,1.29056,1.01046,1.07993,0,0.5649,0.60614,0.5952,0.51734,0.56416,0.60497,0.59012,0.48491,0.56853,1.41737,1.30033,1.08958,0,0.000358938,0.000358938,0.000358938
88,14474.6,0.5305,1.25562,0.98904,1.07445,0,0.55025,0.63755,0.59981,0.52058,0.55431,0.63112,0.59789,0.48683,0.57385,1.44134,1.30829,1.0956,0,0.000355844,0.000355844,0.000355844
89,14638.8,0.53231,1.24384,0.9754,1.06947,0,0.61366,0.58686,0.6047,0.52711,0.61387,0.58625,0.60047,0.49434,0.56312,1.39766,1.27276,1.08242,0,0.00035275,0.00035275,0.00035275
90,14803.2,0.53234,1.25201,0.97302,1.06747,0,0.58129,0.58201,0.60557,0.52786,0.57946,0.57997,0.60199,0.49887,0.56635,1.39543,1.27763,1.09436,0,0.000349656,0.000349656,0.000349656
91,14967.6,0.53629,1.29714,0.97691,1.0723,0,0.55972,0.61826,0.59217,0.51232,0.5578,0.61622,0.58677,0.48264,0.57147,1.43117,1.32272,1.10192,0,0.000346563,0.000346563,0.000346563
92,15131.9,0.53955,1.29176,0.98826,1.08008,0,0.56984,0.60812,0.60342,0.52763,0.56965,0.60878,0.59812,0.49097,0.55705,1.41316,1.30924,1.0862,0,0.000343469,0.000343469,0.000343469
93,15296.3,0.52731,1.26276,0.97057,1.06641,0,0.54115,0.62108,0.59412,0.51578,0.54621,0.6116,0.58726,0.4831,0.57809,1.4477,1.32903,1.10591,0,0.000340375,0.000340375,0.000340375
94,15460.6,0.52958,1.27537,0.9802,1.06704,0,0.57565,0.60674,0.60616,0.52464,0.58738,0.59488,0.60193,0.49424,0.57907,1.42517,1.32107,1.10894,0,0.000337281,0.000337281,0.000337281
95,15624.6,0.52943,1.25362,0.95547,1.0676,0,0.55963,0.60775,0.59526,0.51964,0.60158,0.56903,0.59156,0.48648,0.5729,1.40129,1.31307,1.09455,0,0.000334188,0.000334188,0.000334188
96,15788.5,0.51934,1.23911,0.94417,1.05754,0,0.55997,0.60378,0.59819,0.51968,0.55935,0.60512,0.59527,0.48629,0.57519,1.42107,1.31377,1.09969,0,0.000331094,0.000331094,0.000331094
97,15952.5,0.52503,1.2547,0.9362,1.06129,0,0.57535,0.59803,0.59219,0.51753,0.57655,0.59612,0.58895,0.48437,0.57381,1.44916,1.34299,1.10234,0,0.000328,0.000328,0.000328
98,16116.5,0.51967,1.24455,0.93847,1.05988,0,0.61496,0.58343,0.60573,0.52607,0.62968,0.5769,0.60098,0.49458,0.57465,1.44203,1.33223,1.10479,0,0.000324906,0.000324906,0.000324906
99,16280.6,0.52674,1.24445,0.93693,1.06861,0,0.57545,0.60997,0.60891,0.53031,0.57195,0.60871,0.60543,0.49775,0.57196,1.46637,1.30907,1.11078,0,0.000321812,0.000321812,0.000321812
100,16444.9,0.51966,1.22362,0.92638,1.05841,0,0.58725,0.59124,0.59836,0.52193,0.58811,0.59231,0.59462,0.48703,0.56566,1.42457,1.31838,1.08925,0,0.000318719,0.000318719,0.000318719
101,16609.2,0.51352,1.21621,0.91527,1.05109,0,0.608,0.56572,0.59696,0.51991,0.60606,0.57051,0.59456,0.48995,0.57059,1.41982,1.31926,1.09716,0,0.000315625,0.000315625,0.000315625
102,16773.3,0.50849,1.21507,0.9016,1.04686,0,0.59226,0.5985,0.60099,0.52739,0.5971,0.6056,0.60219,0.49177,0.56708,1.47238,1.30998,1.09611,0,0.000312531,0.000312531,0.000312531
103,16937.4,0.51733,1.21547,0.91484,1.0585,0,0.62015,0.56703,0.59898,0.52289,0.6189,0.56814,0.59715,0.48966,0.56782,1.43401,1.31977,1.09978,0,0.000309437,0.000309437,0.000309437
104,17101.6,0.51438,1.20367,0.90124,1.0525,0,0.58834,0.59447,0.60547,0.52435,0.58566,0.59331,0.60032,0.49127,0.57235,1.43981,1.3181,1.09794,0,0.000306344,0.000306344,0.000306344
105,17265.4,0.52357,1.21829,0.90613,1.0595,0,0.62207,0.58678,0.60042,0.5252,0.62283,0.58737,0.59739,0.49412,0.56626,1.41802,1.30219,1.08628,0,0.00030325,0.00030325,0.00030325
106,17429.6,0.51304,1.26241,0.89103,1.05865,0,0.5794,0.60291,0.59435,0.52155,0.58041,0.60275,0.59038,0.4889,0.5643,1.42138,1.37415,1.09316,0,0.000300156,0.000300156,0.000300156
107,17594,0.51384,1.22929,0.89139,1.05118,0,0.5958,0.6085,0.60159,0.52887,0.59701,0.60727,0.59745,0.49507,0.55721,1.41663,1.35048,1.08826,0,0.000297063,0.000297063,0.000297063
