epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,7737.65,0.56007,1.30704,0.92012,1.05214,0,0.55431,0.57618,0.56534,0.47421,0.55721,0.57336,0.56199,0.45694,0.68079,1.50298,1.44441,1.17013,0,0.000334188,0.000334188,0.000334188
96,7818.69,0.55672,1.29013,0.90311,1.05123,0,0.58465,0.554,0.56883,0.47676,0.58727,0.55446,0.5686,0.45985,0.67041,1.45411,1.48089,1.14488,0,0.000331094,0.000331094,0.000331094
97,7899.97,0.56626,1.31637,0.91035,1.05683,0,0.52244,0.58883,0.55993,0.47069,0.52474,0.59095,0.56096,0.45428,0.66187,1.54076,1.45703,1.13783,0,0.000328,0.000328,0.000328
98,7980.97,0.56033,1.30455,0.90054,1.05095,0,0.56838,0.56356,0.56641,0.4773,0.56429,0.56118,0.56147,0.45469,0.67318,1.52497,1.44994,1.15136,0,0.000324906,0.000324906,0.000324906
99,8062.04,0.55284,1.27911,0.89148,1.04778,0,0.56364,0.59706,0.58028,0.48479,0.56912,0.59633,0.57747,0.46537,0.68041,1.54598,1.39874,1.16472,0,0.000321812,0.000321812,0.000321812
100,8143.24,0.55156,1.2812,0.88154,1.04983,0,0.5746,0.55932,0.57574,0.48972,0.57659,0.56501,0.57711,0.46996,0.68053,1.51221,1.4455,1.15767,0,0.000318719,0.000318719,0.000318719
101,8224.53,0.54978,1.2687,0.89862,1.04876,0,0.57105,0.56867,0.57161,0.48506,0.57241,0.56838,0.57196,0.46659,0.6542,1.49836,1.44949,1.12622,0,0.000315625,0.000315625,0.000315625
102,8305.59,0.54753,1.25964,0.8696,1.0444,0,0.57367,0.58442,0.58169,0.49211,0.57181,0.58319,0.57714,0.47039,0.66612,1.50492,1.41836,1.1481,0,0.000312531,0.000312531,0.000312531
103,8386.76,0.55393,1.28164,0.88588,1.04878,0,0.57473,0.58635,0.57464,0.48362,0.57707,0.58788,0.5761,0.46648,0.6761,1.50117,1.42721,1.14746,0,0.000309437,0.000309437,0.000309437
104,8467.86,0.55717,1.28051,0.87172,1.04875,0,0.59724,0.5515,0.57094,0.47935,0.5932,0.54939,0.56586,0.45948,0.65991,1.50382,1.4485,1.1345,0,0.000306344,0.000306344,0.000306344
105,8549.05,0.55127,1.26019,0.87428,1.04097,0,0.54326,0.58612,0.56976,0.47576,0.55401,0.58208,0.56889,0.46326,0.67086,1.54653,1.43825,1.15892,0,0.00030325,0.00030325,0.00030325
106,8630.12,0.55754,1.31817,0.87965,1.05196,0,0.57595,0.53477,0.55485,0.46676,0.5775,0.53411,0.55154,0.44953,0.69091,1.53757,1.55301,1.17463,0,0.000300156,0.000300156,0.000300156
107,8711.24,0.54347,1.25434,0.85084,1.0395,0,0.60724,0.53062,0.5627,0.47309,0.61369,0.53258,0.56374,0.45628,0.67128,1.49573,1.47457,1.15536,0,0.000297063,0.000297063,0.000297063
108,8792.34,0.54253,1.26925,0.86388,1.03822,0,0.57874,0.56433,0.57708,0.48898,0.57937,0.57034,0.5779,0.47135,0.67285,1.50603,1.42927,1.15741,0,0.000293969,0.000293969,0.000293969
109,8873.38,0.55105,1.28745,0.87258,1.04927,0,0.60505,0.5507,0.58065,0.4915,0.59809,0.56363,0.58417,0.47584,0.67055,1.48994,1.42364,1.15041,0,0.000290875,0.000290875,0.000290875
